player,kills,deaths,assists,KAST,ADR,ACS,first_kills,first_deaths,num_matches
yay,85.0,89.0,25.0,186.0,385.0,582.0,20.0,13.0,2.0
NaturE,77.0,86.0,36.0,206.0,347.0,516.0,5.0,9.0,2.0
icy,95.0,99.0,20.0,196.0,424.0,650.0,18.0,25.0,2.0
supamen,88.0,87.0,37.0,211.0,377.0,571.0,11.0,10.0,2.0
Derrek,78.0,94.0,44.0,217.0,348.0,525.0,5.0,12.0,2.0
dgzin,175.0,130.0,25.0,274.0,621.0,949.0,42.0,24.0,3.0
cauanzin,142.0,153.0,49.0,261.0,547.0,844.0,26.0,27.0,3.0
v1nny,111.0,135.0,79.0,289.0,441.0,629.0,7.0,16.0,3.0
pANcada,142.0,131.0,63.0,300.0,517.0,769.0,17.0,11.0,3.0
tuyz,113.0,134.0,50.0,279.0,427.0,648.0,17.0,17.0,3.0
aspas,332.0,241.0,48.0,469.0,992.0,1506.0,73.0,45.0,5.0
nzr,216.0,250.0,122.0,414.0,714.0,1033.0,14.0,13.0,5.0
xenom,247.0,240.0,155.0,459.0,707.0,1101.0,21.0,24.0,5.0
artzin,243.0,288.0,112.0,415.0,764.0,1171.0,49.0,71.0,5.0
cortezia,245.0,267.0,67.0,401.0,749.0,1110.0,31.0,30.0,5.0
Cryocells,138.0,115.0,41.0,246.0,480.0,716.0,23.0,13.0,2.0
Asuna,132.0,122.0,47.0,218.0,465.0,726.0,33.0,27.0,2.0
eeiu,129.0,107.0,55.0,233.0,389.0,592.0,10.0,8.0,2.0
Boostio,81.0,119.0,56.0,213.0,267.0,421.0,9.0,12.0,2.0
zander,100.0,113.0,56.0,222.0,316.0,510.0,18.0,17.0,2.0
gobera,58.0,54.0,20.0,151.0,309.0,480.0,7.0,4.0,1.0
lz,42.0,57.0,18.0,121.0,233.0,343.0,8.0,12.0,1.0
silentzz,44.0,62.0,11.0,129.0,240.0,378.0,15.0,11.0,1.0
pryze,32.0,52.0,21.0,143.0,199.0,300.0,2.0,1.0,1.0
Zap,28.0,57.0,17.0,123.0,184.0,257.0,2.0,7.0,1.0
penny,37.0,22.0,8.0,82.0,166.0,266.0,7.0,4.0,0.0
bdog,28.0,21.0,21.0,79.0,126.0,213.0,2.0,0.0,0.0
jakee,29.0,25.0,18.0,82.0,142.0,221.0,1.0,4.0,0.0
stellar,29.0,24.0,11.0,76.0,143.0,205.0,4.0,6.0,0.0
Add3r,28.0,28.0,3.0,66.0,126.0,195.0,4.0,6.0,0.0
s0m,138.0,125.0,81.0,243.0,412.0,666.0,19.0,14.0,2.0
mada,178.0,130.0,35.0,221.0,514.0,818.0,37.0,39.0,2.0
Ethan,114.0,121.0,81.0,215.0,371.0,562.0,8.0,15.0,2.0
Verno,116.0,120.0,42.0,230.0,341.0,517.0,11.0,12.0,2.0
FiNESSE,86.0,126.0,59.0,203.0,302.0,441.0,9.0,18.0,2.0
Xeppaa,107.0,115.0,41.0,215.0,410.0,620.0,11.0,8.0,2.0
mitch,79.0,111.0,71.0,199.0,307.0,490.0,12.0,18.0,2.0
neT,95.0,110.0,35.0,201.0,348.0,521.0,13.0,15.0,2.0
OXY,118.0,127.0,30.0,195.0,430.0,650.0,25.0,33.0,2.0
v1c,92.0,101.0,60.0,211.0,331.0,497.0,10.0,7.0,2.0
keznit,183.0,167.0,40.0,370.0,713.0,1094.0,43.0,39.0,4.0
Shyy,188.0,154.0,56.0,386.0,697.0,1048.0,19.0,9.0,4.0
Melser,182.0,148.0,88.0,394.0,649.0,1039.0,24.0,16.0,4.0
adverso,157.0,169.0,77.0,355.0,606.0,924.0,19.0,24.0,4.0
Mazino,159.0,178.0,110.0,365.0,611.0,925.0,22.0,31.0,4.0
johnqt,242.0,231.0,100.0,365.0,623.0,912.0,24.0,18.0,4.0
N4RRATE,244.0,258.0,140.0,369.0,628.0,957.0,27.0,28.0,4.0
zekken,291.0,264.0,81.0,362.0,714.0,1099.0,71.0,68.0,4.0
bang,242.0,252.0,152.0,381.0,617.0,939.0,31.0,34.0,4.0
Zellsis,254.0,261.0,129.0,352.0,643.0,999.0,29.0,40.0,4.0
kiNgg,112.0,104.0,57.0,242.0,422.0,663.0,14.0,13.0,2.0
C0M,103.0,106.0,38.0,219.0,411.0,600.0,9.0,11.0,2.0
nataNk,104.0,97.0,56.0,227.0,410.0,627.0,19.0,21.0,2.0
tex,104.0,95.0,14.0,207.0,370.0,561.0,9.0,16.0,2.0
Demon1,103.0,111.0,44.0,208.0,392.0,568.0,12.0,23.0,2.0
Khalil,62.0,58.0,21.0,158.0,275.0,423.0,7.0,3.0,1.0
havoc,57.0,66.0,18.0,141.0,293.0,441.0,14.0,13.0,1.0
mwzera,44.0,55.0,23.0,133.0,223.0,333.0,7.0,7.0,1.0
raafa,35.0,63.0,20.0,111.0,188.0,273.0,2.0,10.0,1.0
heat,49.0,59.0,7.0,123.0,232.0,345.0,7.0,10.0,1.0
leaf,186.0,146.0,44.0,292.0,644.0,983.0,34.0,19.0,3.0
JonahP,144.0,138.0,113.0,320.0,485.0,749.0,12.0,13.0,3.0
trent,179.0,126.0,47.0,305.0,600.0,865.0,21.0,16.0,3.0
jawgemo,167.0,169.0,66.0,291.0,564.0,890.0,43.0,33.0,3.0
valyn,145.0,141.0,89.0,291.0,482.0,739.0,14.0,16.0,3.0
